method,n,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,win_pct_vs_rl_path_over_all_points,tie_pct_vs_rl_path_over_all_points,total_points,density_points
RL+Backbone,12,0.48855273569493585,0.46773891471038276,38.1881358836071,80.0,0.0,30,10
RL+Backbone,16,0.3685577936466945,0.5488219803776901,56.724048429321286,50.0,10.0,30,10
RL+Backbone,32,0.6281838172429144,1.1146599332431228,253.08140580326602,70.0,0.0,30,10
RL+Backbone,64,1.1431468114354386,1.0345416068111268,1030.858054791414,83.33333333333333,10.0,30,10
RL+Path,12,0.0,0.0,0.0,0.0,100.0,30,10
RL+Path,16,0.0,0.0,0.0,0.0,100.0,30,10
RL+Path,32,0.0,0.0,0.0,0.0,100.0,30,10
RL+Path,64,0.0,0.0,0.0,0.0,100.0,30,10
