method,n,runtime_mean_over_density_s,runtime_std_over_density_s,rl_runtime_mean_over_density_s,rl_runtime_std_over_density_s,init_runtime_mean_over_density_s,rl_runtime_per_step_mean_s,density_points
RL+Backbone,12,0.0015665433336835121,0.0015142817180418514,0.0003480833335440062,0.001043772222660801,0.001218463333498221,0.0003480833335440062,10
RL+Backbone,16,0.0027408400004787837,0.0030178954448439378,0.001366783333408724,0.002464306541463207,0.0013740566671913254,0.0003582030160147937,10
RL+Backbone,32,0.008065593332867138,0.008559817640035694,0.004290733333012516,0.00644797943679193,0.003774863333334603,0.000518178523599913,10
RL+Backbone,64,0.034798603333789896,0.034345064859463204,0.013385350000316976,0.01783366026601619,0.021413256666831637,0.0053712677411431615,10
RL+Path,12,0.03192545999978999,0.021130928544219447,0.03192545999978999,0.021130928544219447,0.0,0.0012618662480447173,10
RL+Path,16,0.07282168000019737,0.05003229453742074,0.07282168000019737,0.05003229453742074,0.0,0.0014352112900527232,10
RL+Path,32,0.3674739699999918,0.24206549018600754,0.3674739699999918,0.24206549018600754,0.0,0.001620235437372745,10
RL+Path,64,1.8824261666666036,1.2666140040299974,1.8824261666666036,1.2666140040299974,0.0,0.0019568256773869284,10
