global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,eval_terminal_lambda2_norm_mean,eval_terminal_lambda2_mean,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2000,1,phase_lite,full,path,281.678983240778,7.100281238555908,63.902531147003174,0.7345336316051894,0.4622981308916187,0.6989733824105586,7.131340606637294,8.90677966101695,0.0,0.0,0.0,-0.00045405863784253597,0.028371747728670016,3.192943550646305,-0.00019208455341868103,0.00028421052631578947,0.0,0.0,0.0,0.0,0.8070064867254774
4000,3,phase_lite,full,path,200.36866547671562,19.96320128440857,79.85280513763428,0.754326574991694,0.46993391699064613,0.8186629547428819,8.401529452022528,9.105,0.0,0.0,0.0,-0.0005292395580909215,0.023619892264832743,3.257849894464016,0.0006821815186413005,0.00025263157894736836,0.0,0.0,0.0,0.0,0.8494359876232601
6000,5,phase_lite,full,path,183.3905475131533,32.71706247329712,76.33981243769327,0.7956653047264286,0.5217511457025075,0.8131336417179689,8.370520537334329,9.1,0.0,0.0,0.0,-0.004012920675450005,0.019336969751748256,3.0720773711800575,-2.055536606349051e-05,0.00022105263157894738,0.0,0.0,0.0,0.0,0.8494359876232601
8000,7,phase_lite,full,path,175.92868072925563,45.47297215461731,68.20945823192596,0.7765141714434005,0.5164871594096244,0.7635735248286001,7.888094940832361,9.035,0.0,0.0,0.0,-0.001311981031903997,0.009877804142888635,3.2298974879086018,0.0013489824195858091,0.0001894736842105263,0.0,0.0,0.0,0.0,0.8494359876232601
10000,9,phase_lite,full,path,168.82586230867543,59.23263096809387,59.23263096809387,0.7556530483278501,0.4882413191817968,0.6406836386003913,6.620955538333254,9.105,0.0,0.0,0.0,-0.011590964946663007,0.01059996461845003,3.2031137384474277,0.005779663784778677,0.00015789473684210527,0.0,0.0,0.0,0.0,0.8494359876232601
12000,11,phase_lite,full,path,160.40778204872663,74.80933809280396,49.87289206186931,0.7718770882379904,0.48107868324212444,0.6964052412923076,7.157345473365208,9.08,0.0,0.0,0.0,-0.005186052920180373,0.009296777301642578,3.2231471203267574,0.010132292591151781,0.00012631578947368418,0.0,0.0,0.0,0.0,0.8494359876232601
14000,13,phase_lite,full,path,156.22803277350792,89.61259865760803,38.40539942468916,0.7752725255296657,0.4994886055015543,0.5965171267242586,6.191592417434823,9.105,0.0,0.0,0.0,-3.735497739398852e-05,0.008074765024502994,3.192477434873581,0.0076747144921682775,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.8494359876232601
16000,15,phase_lite,full,path,153.41939019727826,104.28929471969604,26.07232367992401,0.7617948628122305,0.4911411316928301,0.6414191597429485,6.699947690761286,9.14,0.0,0.0,0.0,-0.007873843627749011,0.007520894541812595,3.2607300877571106,0.007731088815489784,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.8494359876232601
18000,17,phase_lite,full,path,151.33923318854227,118.9380943775177,13.21534381972419,0.7771038350880978,0.5132287848628435,0.5455332873708366,5.627754099697053,9.15,0.0,0.0,0.0,0.0019621982355602086,0.007840516562282573,3.074840411543846,0.004180356379947625,3.1578947368421045e-05,0.0,0.0,0.0,0.0,0.8494359876232601
20000,19,phase_lite,full,path,149.67904985344293,133.619234085083,0.0,0.7943543887824303,0.5258740350225519,0.5182960700812143,5.3488927900881045,9.03,0.0,0.0,0.0,0.014229698572307825,0.007829393907741178,3.2548920661211014,0.01241170875437092,0.0,0.0,0.0,0.0,0.0,0.8494359876232601
