arm,label,baseline,method,n,density_bucket,lambda2_mean,baseline_lambda2_mean,delta_lambda2_mean,delta_lambda2_std,delta_lambda2_pct_mean,win_pct_vs_baseline,paired_points
analytic,Analytic (exact secular),old_model,RL+Path,32,medium,11.99556034732457,12.033393261207204,-0.037832913882632845,0.06077267877951455,-0.3752470687180424,33.33333333333333,9
analytic,Analytic (exact secular),old_model,RL+Path,32,sparse,2.6554730013943733,2.671686661153168,-0.016213659758794338,0.02580710359483331,14.703880036201683,33.33333333333333,9
analytic,Analytic (exact secular),old_model,RL+Path,64,dense,50.255457645540766,50.20809054881992,0.047367096720851265,0.04944076814966739,0.09848073196213457,75.0,12
analytic,Analytic (exact secular),old_model,RL+Path,64,medium,25.173685940051502,25.02372329468386,0.1499626453676394,0.06599751013825271,0.6566962014893227,100.0,9
analytic,Analytic (exact secular),old_model,RL+Path,64,sparse,5.585814117721427,5.524635868403084,0.061178249318343335,0.0429284173190925,2.7340159573077494,100.0,9
subspace,Subspace (certified bracket),old_model,RL+Backbone,12,dense,8.999999999999996,9.0,-3.552713678800501e-15,1.2560739669470201e-14,-2.9112514867948424e-14,0.0,9
subspace,Subspace (certified bracket),old_model,RL+Backbone,12,medium,5.749999999999996,5.749999999999993,1.9984014443252818e-15,2.5414166642833352e-15,2.960594732333755e-14,0.0,12
subspace,Subspace (certified bracket),old_model,RL+Backbone,12,sparse,1.5119661282874142,1.5119661282874142,0.0,0.0,0.0,0.0,9
subspace,Subspace (certified bracket),old_model,RL+Backbone,16,dense,12.249999999999995,12.249999999999995,-1.7763568394002505e-15,3.76822190084106e-15,-1.5957930947359402e-14,0.0,12
subspace,Subspace (certified bracket),old_model,RL+Backbone,16,medium,6.100981074099389,6.050746978325809,0.05023409577357975,0.07104194803189429,1.2098068623721037,33.33333333333333,9
subspace,Subspace (certified bracket),old_model,RL+Backbone,16,sparse,1.5854390303786023,1.5461769795739733,0.03926205080462882,0.028550910988315838,2.931031721346416,66.66666666666666,9
subspace,Subspace (certified bracket),old_model,RL+Backbone,32,dense,25.499999999999982,25.499999999999982,8.881784197001252e-16,5.824175385795272e-15,4.852085811324767e-15,0.0,12
subspace,Subspace (certified bracket),old_model,RL+Backbone,32,medium,12.975515531332652,12.934037729573076,0.04147780175957669,0.032129673733584586,0.4144267441765891,66.66666666666666,9
subspace,Subspace (certified bracket),old_model,RL+Backbone,32,sparse,2.914076535725391,2.881921659089481,0.032154876635910275,0.036752965568389785,0.828899690208115,66.66666666666666,9
subspace,Subspace (certified bracket),old_model,RL+Backbone,64,dense,51.999999999999936,51.999999999999936,1.7763568394002505e-15,2.267900593509556e-14,4.399962217408495e-15,0.0,12
subspace,Subspace (certified bracket),old_model,RL+Backbone,64,medium,26.21294439051742,26.1966768764562,0.01626751406122098,0.021635681855763377,0.0805747648709388,55.55555555555556,9
subspace,Subspace (certified bracket),old_model,RL+Backbone,64,sparse,5.829730280382857,5.807533115502231,0.022197164880626237,0.07671658652826102,0.12793823033752966,44.44444444444444,9
subspace,Subspace (certified bracket),old_model,RL+Path,12,dense,8.918301917870918,8.833702075134134,0.08459984273678482,0.11801317565433975,1.1255095834424478,100.0,9
subspace,Subspace (certified bracket),old_model,RL+Path,12,medium,4.8739147704500345,4.739033940636149,0.13488082981388683,0.07494321507757898,3.0260429345358557,100.0,12
subspace,Subspace (certified bracket),old_model,RL+Path,12,sparse,1.133268730833321,1.2193045655929382,-0.08603583475961737,0.1675308299085471,27.900169722562797,33.33333333333333,9
subspace,Subspace (certified bracket),old_model,RL+Path,16,dense,11.659245731890229,11.424306090567006,0.23493964132322365,0.4447062986573712,1.9017257437982467,50.0,12
subspace,Subspace (certified bracket),old_model,RL+Path,16,medium,5.809830212136995,5.944029149536664,-0.13419893739966918,0.16636818240058732,-2.245563355732247,33.33333333333333,9
subspace,Subspace (certified bracket),old_model,RL+Path,16,sparse,1.435736270998368,1.3429913412127397,0.09274492978562851,0.11982168410845324,42.83342020472367,66.66666666666666,9
subspace,Subspace (certified bracket),old_model,RL+Path,32,dense,24.87680407097791,24.382092936131553,0.4947111348463613,0.7909591849602863,1.6162048520406989,50.0,12
subspace,Subspace (certified bracket),old_model,RL+Path,32,medium,11.915966476244282,12.033393261207204,-0.11742678496292254,0.15437416086001893,-1.0421591597151942,33.33333333333333,9
subspace,Subspace (certified bracket),old_model,RL+Path,32,sparse,2.7106074387001415,2.671686661153168,0.038920777546973796,0.034789013311705044,16.73588773227499,100.0,9
subspace,Subspace (certified bracket),old_model,RL+Path,64,dense,50.239510652782975,50.20809054881992,0.031420103963059276,0.0935943565629285,0.04723170902845033,50.0,12
subspace,Subspace (certified bracket),old_model,RL+Path,64,medium,25.015057341319046,25.02372329468386,-0.008665953364815238,0.12210435711221804,-0.14919029618868282,33.33333333333333,9
subspace,Subspace (certified bracket),old_model,RL+Path,64,sparse,5.564447087752372,5.524635868403084,0.03981121934928796,0.031414581196824026,2.4893632832639603,100.0,9
