method,n,runtime_mean_over_density_s,runtime_std_over_density_s,rl_runtime_mean_over_density_s,rl_runtime_std_over_density_s,init_runtime_mean_over_density_s,rl_runtime_per_step_mean_s,density_points
RL+Backbone,12,0.004023449999901156,0.0021436020649787295,0.0027834099998775247,0.0024769567406974333,0.0012509866666126376,0.0008661269999599123,10
RL+Backbone,16,0.0079003699994549,0.005763666399104822,0.006677383333226317,0.005376399375992951,0.0015623133327608229,0.0026838595237403213,10
RL+Backbone,32,0.023066196667180825,0.019583648478669002,0.01928820000042227,0.017460353455329276,0.004070960000050643,0.0024337704325949343,10
RL+Backbone,64,0.09160185333421397,0.07103832307090369,0.06749065000027865,0.05813397922897861,0.02429684000041258,0.005525570365535965,10
RL+Path,12,0.06981455999945561,0.039536855277237215,0.06981455999945561,0.039536855277237215,0.0,0.0026081806594533173,10
RL+Path,16,0.1781127266667075,0.10657060421888244,0.1781127266667075,0.10657060421888244,0.0,0.0034478506428603254,10
RL+Path,32,1.09282244666659,0.7087782842569122,1.09282244666659,0.7087782842569122,0.0,0.004532927034422106,10
RL+Path,64,6.301400166666645,4.288251483117738,6.301400166666645,4.288251483117738,0.0,0.0060639524937456096,10
