tag,alpha_1,alpha_2,alpha_3,mean_lambda2_rl_path,mean_lambda2_rl_backbone,win_pct_vs_rl_path_avg,best_eval_lambda2_from_training_log,final_mean_episode_return,density_points,n_values_covered
lambda2_only,1.0,0.0,0.0,18.435821600759326,18.789541996060446,50.888888888888886,9.270863474837396,0.7749451966785241,900,12;16;24;32;48;91
resistance_only,0.0,1.0,0.0,18.947487812080478,18.153271934180964,41.111111111111114,8.401529452022528,0.7943543887824303,900,12;16;24;32;48;91
pmin_only,0.0,0.0,1.0,19.212531176586094,18.6877052121322,43.333333333333336,9.180173261201332,0.11313047176046509,900,12;16;24;32;48;91
balanced,0.34,0.33,0.33,18.76019651126869,18.740289549439794,49.111111111111114,9.252228380673133,0.5466622798294075,900,12;16;24;32;48;91
resistance_leaning,0.2,0.3,0.5,19.10063303208643,18.601392293180904,42.44444444444444,9.202699965145749,0.426241633435568,900,12;16;24;32;48;91
