method,n,runtime_mean_over_density_s,runtime_std_over_density_s,rl_runtime_mean_over_density_s,rl_runtime_std_over_density_s,init_runtime_mean_over_density_s,rl_runtime_per_step_mean_s,density_points
RL+Backbone,12,0.0034382099996340303,0.0015457687276117546,0.0021527166666298093,0.0018819149110607218,0.0012926733329853353,0.0006817306666562217,10
RL+Backbone,16,0.004415630000342693,0.0024980444969105076,0.0032419466669428706,0.0022659985218004873,0.0014225866668615102,0.0014377876190857413,10
RL+Backbone,32,0.011318673332910596,0.0060815886820430815,0.007769653332919309,0.005242832542365563,0.003824876666355218,0.0010318309678982033,10
RL+Backbone,64,0.0489182099999501,0.029483227164504282,0.027852430000226986,0.02344950055561474,0.021224479999727923,0.0022066359938086436,10
RL+Path,12,0.02149570333373655,0.013964943560945518,0.02149570333373655,0.013964943560945518,0.0,0.0008531522169905534,10
RL+Path,16,0.04324575999986943,0.028661456313042784,0.04324575999986943,0.028661456313042784,0.0,0.0008980736182726757,10
RL+Path,32,0.2650624700000966,0.17375669936092716,0.2650624700000966,0.17375669936092716,0.0,0.0012220952907211718,10
RL+Path,64,1.6952591699997963,1.1351851829104869,1.6952591699997963,1.1351851829104869,0.0,0.0017487729385506565,10
