method,n,runtime_mean_over_density_s,runtime_std_over_density_s,density_points,avg_repeats_per_point,min_repeats_per_point,max_repeats_per_point
RL+Backbone,24,0.013714953333328594,0.009115766373975234,10,3.0,3,3
RL+Backbone,32,0.013838839999637762,0.006734878210663808,10,3.0,3,3
RL+Backbone,91,0.1813967333331675,0.08834604451972138,10,3.0,3,3
RL+Path,24,0.144991156666462,0.09789297535660316,10,3.0,3,3
RL+Path,32,0.3118432166667238,0.21435827390585954,10,3.0,3,3
RL+Path,91,6.872200599999874,5.431223011838426,10,3.0,3,3
