global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,eval_terminal_lambda2_norm_mean,eval_terminal_lambda2_mean,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2000,1,phase_lite,full,path,257.94195625814604,7.753682374954224,69.783141374588,0.12173723413282672,0.30687219088760637,0.5785764983879814,6.107288821323279,8.899159663865547,0.0,0.0,0.0,-0.0013685424055438489,0.015289168120943941,3.107104506343603,0.00018773923511616886,0.00028421052631578947,0.0,0.0,0.0,0.0,0.5785764983879814
4000,3,phase_lite,full,path,189.86448589717273,21.067657709121704,84.27063083648682,0.1344599045101948,0.3170463858351269,0.5654023926042065,5.9693557239249,9.11,0.0,0.0,0.0,-0.0061894123937236145,0.011477701053081546,3.14168768376112,0.00015541972243227065,0.00025263157894736836,0.0,0.0,0.0,0.0,0.5785764983879814
6000,5,phase_lite,full,path,160.47301291304746,37.389464378356934,87.24208354949951,0.1810190523107099,0.3792810612023628,0.5908655550090671,6.237541847102856,9.115,0.0,0.0,0.0,-0.008967632762505673,0.008662569896841887,2.944942507892847,0.008546036362531595,0.00022105263157894738,0.0,0.0,0.0,0.0,0.5908655550090671
8000,7,phase_lite,full,path,150.64045995775683,53.10658240318298,79.65987360477448,0.1843062234694373,0.3767535912510957,0.5906328604629583,6.234749464122281,9.07,0.0,0.0,0.0,-0.000288841561996378,0.008364859328139573,2.9862320199608803,0.0062808106013108045,0.0001894736842105263,0.0,0.0,0.0,0.0,0.5908655550090671
10000,9,phase_lite,full,path,145.40668240813926,68.77263021469116,68.77263021469116,0.1860523792007781,0.37467168935866596,0.5906328120356906,6.234748931422338,9.145,0.0,0.0,0.0,-0.008146371314069256,0.006347309546981705,2.9206644259393215,0.0062216888181865215,0.00015789473684210527,0.0,0.0,0.0,0.0,0.5908655550090671
12000,11,phase_lite,full,path,145.99956339060697,82.19202661514282,54.794684410095215,0.19362869683705317,0.38482035295246986,0.5906328120360776,6.234748931426595,9.08,0.0,0.0,0.0,-0.009285985463066027,0.00560853808929096,2.9000374525785446,0.0034079964680131525,0.00012631578947368418,0.0,0.0,0.0,0.0,0.5908655550090671
14000,13,phase_lite,full,path,142.3157584696793,98.37280249595642,42.15977249826704,0.20513854609145205,0.3914994221790855,0.5906328133118559,6.234748945460155,9.12,0.0,0.0,0.0,-0.007998962653800845,0.005238899317191681,2.848245579749346,0.0010189597960561514,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.5908655550090671
16000,15,phase_lite,full,path,139.96906587481644,114.31097221374512,28.577743053436276,0.19734492206257218,0.3745642621489623,0.6160579736967318,6.438150228539162,9.15,0.0,0.0,0.0,-0.006999386372626759,0.005182133852940751,2.763717118650675,0.010388964554294944,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.6160579736967319
18000,17,phase_lite,full,path,138.8072693201313,129.6762056350708,14.408467292785645,0.22518977510415508,0.4124433997989358,0.5672245861593355,6.000666672653066,9.125,0.0,0.0,0.0,-0.01184160200500628,0.00408231609435461,2.6693274341523647,0.008072808239376172,3.1578947368421045e-05,0.0,0.0,0.0,0.0,0.6160579736967319
20000,19,phase_lite,full,path,138.04584122053117,144.87940979003906,0.0,0.24158301869142626,0.43732755006079094,0.5672245861593355,6.000666672653066,9.0,0.0,0.0,0.0,-0.012272262043552473,0.005190415573451901,2.7644358314573765,0.00781004354939796,0.0,0.0,0.0,0.0,0.0,0.6160579736967319
