global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,eval_terminal_lambda2_norm_mean,eval_terminal_lambda2_mean,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2000,1,phase_lite,full,path,248.75098278873529,8.04016923904419,72.3615231513977,0.4560962237970136,0.4653790497637518,0.8887483640230408,9.209935418478217,8.90677966101695,0.0,0.0,0.0,-0.0017514003557153046,0.015053951748996042,3.192497316747904,0.0007678554393351078,0.00028421052631578947,0.0,0.0,0.0,0.0,0.8887483640230408
4000,3,phase_lite,full,path,174.7576642285281,22.88883876800537,91.55535507202148,0.476905380673596,0.48818675241907517,0.8952169052803537,9.252228380673133,9.105,0.0,0.0,0.0,-0.005039978859713301,0.012301711263717152,3.2366517074406147,0.00424840805499116,0.00025263157894736836,0.0,0.0,0.0,0.0,0.8952169052803537
6000,5,phase_lite,full,path,159.91861848156927,37.51908349990845,87.54452816645305,0.5261844681856911,0.5598341011103465,0.8908221125499391,9.203885660638573,9.1,0.0,0.0,0.0,-0.01300127332797274,0.011707709316397086,3.0219364315271378,0.0016640092799207196,0.00022105263157894738,0.0,0.0,0.0,0.0,0.8952169052803537
8000,7,phase_lite,full,path,153.41479709325452,52.14620852470398,78.21931278705597,0.5204362813373412,0.5653989671890194,0.8952169052803537,9.252228380673133,9.035,0.0,0.0,0.0,-0.007257928809849545,0.0084305615600897,3.16144110634923,0.007832076065824367,0.0001894736842105263,0.0,0.0,0.0,0.0,0.8952169052803538
10000,9,phase_lite,full,path,149.77872903747485,66.76515460014343,66.76515460014343,0.5038988660651069,0.5475239009391115,0.8875418252406267,9.165824740119172,9.105,0.0,0.0,0.0,-0.008572845399612561,0.005957754146947991,3.111529055982828,0.009100264986045659,0.00015789473684210527,0.0,0.0,0.0,0.0,0.8952169052803538
12000,11,phase_lite,full,path,147.3657423684195,81.43005156517029,54.28670104344686,0.5063511174355506,0.5529572053220153,0.8875418252406267,9.165824740119172,9.08,0.0,0.0,0.0,-0.001503553765360266,0.003307610928459326,3.111138254404068,0.017826985829742625,0.00012631578947368418,0.0,0.0,0.0,0.0,0.8952169052803538
14000,13,phase_lite,full,path,145.77546529379347,96.0381088256836,41.159189496721545,0.5135194157846595,0.5724615147304045,0.8875418252406271,9.165824740119175,9.105,0.0,0.0,0.0,-0.009634637739509344,0.00328324656948098,3.0587399005889893,0.012607568423845805,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.8952169052803538
16000,15,phase_lite,full,path,144.5499384636769,110.68839025497437,27.67209756374359,0.5103864097624707,0.5682711379839571,0.8875418252406267,9.165824740119172,9.14,0.0,0.0,0.0,0.0009913657559081912,0.002971294819872128,3.1018788293004036,0.018443488785123918,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.8952169052803538
18000,17,phase_lite,full,path,143.83592535080075,125.1425883769989,13.904732041888767,0.5313408167874295,0.5993605021085024,0.8875418252406267,9.165824740119172,9.15,0.0,0.0,0.0,0.001006835576845333,0.0029781406301481184,2.8990751914680004,0.012584437819896266,3.1578947368421045e-05,0.0,0.0,0.0,0.0,0.8952169052803538
20000,19,phase_lite,full,path,143.7901172433254,139.09161758422852,0.0,0.5466622798294075,0.6289738877030814,0.8875418252406267,9.165824740119172,9.03,0.0,0.0,0.0,-0.0013114392131683417,0.0038986156760074664,3.0740612484514713,0.00471116830885876,0.0,0.0,0.0,0.0,0.0,0.8952169052803538
2000,1,phase_lite,full,path,292.4173566891914,6.839539289474487,61.555853605270386,0.4560962237970136,0.4653790497637518,0.8887483640230408,9.209935418478217,8.90677966101695,0.0,0.0,0.0,-0.0017514003557153046,0.015053951748996042,3.192497316747904,0.0007678554393351078,0.00028421052631578947,0.0,0.0,0.0,0.0,0.8887483640230408
4000,3,phase_lite,full,path,205.7766553934352,19.43855094909668,77.75420379638672,0.476905380673596,0.48818675241907517,0.8952169052803537,9.252228380673133,9.105,0.0,0.0,0.0,-0.005039978859713301,0.012301711263717152,3.2366517074406147,0.00424840805499116,0.00025263157894736836,0.0,0.0,0.0,0.0,0.8952169052803537
6000,5,phase_lite,full,path,188.68141418991027,31.79963445663452,74.19914706548055,0.5261844681856911,0.5598341011103465,0.8908221125499391,9.203885660638573,9.1,0.0,0.0,0.0,-0.01300127332797274,0.011707709316397086,3.0219364315271378,0.0016640092799207196,0.00022105263157894738,0.0,0.0,0.0,0.0,0.8952169052803537
8000,7,phase_lite,full,path,179.89295515146338,44.47089099884033,66.7063364982605,0.5204362813373412,0.5653989671890194,0.8952169052803537,9.252228380673133,9.035,0.0,0.0,0.0,-0.007257928809849545,0.0084305615600897,3.16144110634923,0.007832076065824367,0.0001894736842105263,0.0,0.0,0.0,0.0,0.8952169052803538
10000,9,phase_lite,full,path,175.6159442946739,56.94243788719177,56.94243788719177,0.5038988660651069,0.5475239009391115,0.8875418252406267,9.165824740119172,9.105,0.0,0.0,0.0,-0.008572845399612561,0.005957754146947991,3.111529055982828,0.009100264986045659,0.00015789473684210527,0.0,0.0,0.0,0.0,0.8952169052803538
12000,11,phase_lite,full,path,172.7380240793314,69.46936011314392,46.31290674209595,0.5063511174355506,0.5529572053220153,0.8875418252406267,9.165824740119172,9.08,0.0,0.0,0.0,-0.001503553765360266,0.003307610928459326,3.111138254404068,0.017826985829742625,0.00012631578947368418,0.0,0.0,0.0,0.0,0.8952169052803538
14000,13,phase_lite,full,path,170.0479200594776,82.32973384857178,35.2841716493879,0.5135194157846595,0.5724615147304045,0.8875418252406271,9.165824740119175,9.105,0.0,0.0,0.0,-0.009634637739509344,0.00328324656948098,3.0587399005889893,0.012607568423845805,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.8952169052803538
16000,15,phase_lite,full,path,168.817937745084,94.77665829658508,23.69416457414627,0.5103864097624707,0.5682711379839571,0.8875418252406267,9.165824740119172,9.14,0.0,0.0,0.0,0.0009913657559081912,0.002971294819872128,3.1018788293004036,0.018443488785123918,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.8952169052803538
